Title,BodyPart,Level,Rating
Elbow-to-knee crunch,Abs,Intermediate,9.1
Decline Crunch,Abs,Intermediate,9.0
Hanging toes-to-bar,Abs,Intermediate,9.0
Hanging Oblique Knee Raise,Abs,Intermediate,9.0
Gorilla Chin/Crunch,Abs,Beginner,9.0
Hanging leg raise,Abs,Intermediate,8.9
Mountain climber,Abs,Intermediate,8.8
Ab bicycle,Abs,Intermediate,8.8
3/4 sit-up,Abs,Intermediate,8.8
Reverse crunch,Abs,Intermediate,8.8
Crunches,Abs,Intermediate,8.7
Dead bug reach,Abs,Intermediate,8.6
Crunch - Hands Overhead,Abs,Beginner,8.6
V-up,Abs,Intermediate,8.5
Stomach Vacuum,Abs,Beginner,8.5
Russian twist,Abs,Intermediate,8.4
Flat Bench Lying Leg Raise,Abs,Intermediate,8.4
Knees tucked crunch,Abs,Intermediate,8.4
Butt-Ups,Abs,Beginner,8.3
Feet-elevated oblique crunch,Abs,Intermediate,8.3
Bent-knee reverse crunch,Abs,Intermediate,8.1
Alternating heel-touch,Abs,Intermediate,8.0
Suspended Reverse Crunch,Abs,Intermediate,7.8
Lying bench reverse crunch,Abs,Intermediate,7.7
Sit-up,Abs,Intermediate,7.5
Side Bridge,Abs,Intermediate,7.5
Lying oblique crunch,Abs,Intermediate,7.4
Janda Sit-Up,Abs,Beginner,7.4
Leg Pull-In,Abs,Beginner,7.4
Side Jackknife,Abs,Intermediate,7.3
Scissor Kick,Abs,Intermediate,7.0
Toe Touchers,Abs,Intermediate,6.9
Back Curl,Abs,Intermediate,6.5
Exercise ball torso rotation,Abs,Intermediate,5.0
Seated Overhead Stretch,Abs,Intermediate,4.7
Overhead Stretch,Abs,Intermediate,3.9
Seated Scissor Kick,Abs,Intermediate,0.0
Partner resistance standing twist,Abs,Intermediate,0.0
Cross Crunch,Abs,Beginner,0.0
Full Moon,Abs,Beginner,0.0
Hanging knee raise with manual resistance,Abs,Beginner,0.0
Straight-Legged Hip Raise,Abs,Intermediate,0.0
Wall mountain climber,Abs,Intermediate,0.0
Skin The Cat To Push-Up,Abs,Intermediate,0.0
Partner lying leg raise with lateral throw down,Abs,Beginner,0.0
Hanging leg raise with throw down,Abs,Beginner,0.0
Partner sit-up with high-five,Abs,Beginner,0.0
Exercise ball knee roll-in,Abs,Intermediate,0.0
Partner lying leg raise with throw down,Abs,Beginner,0.0
Crab toe-touch,Abs,Intermediate,0.0
Side kick-through,Abs,Intermediate,0.0
Partner target sit-up,Abs,Beginner,0.0
Suspended Crunch,Abs,Beginner,0.0
Dumbbell suitcase crunch,Abs,Intermediate,9.0
Medicine ball rotational throw,Abs,Intermediate,0.0
Hollow-hold ball toss,Abs,Intermediate,0.0
Partner front Russian twist and pass,Abs,Beginner,0.0
Sit-up with single-arm overhand throw,Abs,Intermediate,0.0
Medicine ball partner twist,Abs,Intermediate,0.0
Partner side Russian twist and pass,Abs,Beginner,0.0
Decline oblique crunch,Abs,Intermediate,8.5
Exercise Ball Pull-In,Abs,Intermediate,8.9
Exercise ball crunch,Abs,Intermediate,8.4
Feet-elevated crunch,Abs,Intermediate,7.3
Weighted Ball Side Bend,Abs,Beginner,6.4
Band Hip Adductions,Legsrs,Beginner,8.6
Lateral Band Walk,Abductors,Intermediate,0.0
Iliotibial band SMR,Abductors,Intermediate,8.2
Legsr SMR,Legsrs,Beginner,4.0
Lying Bent Leg Groin,Legsrs,Beginner,2.8
Lateral box jump,Legsrs,Intermediate,0.0
Thigh Legsr,Legsrs,Intermediate,9.0
Thigh abductor,Abductors,Intermediate,8.2
Standing Hip Circles,Abductors,Beginner,8.8
Groiners,Legsrs,Beginner,8.8
Fire Hydrant,Abductors,Beginner,8.0
Windmills,Abductors,Intermediate,8.0
Side Leg Raises,Legsrs,Beginner,7.7
Lateral hop,Legsrs,Intermediate,7.3
Monster Walk,Abductors,Intermediate,6.7
Side Lying Groin Stretch,Legsrs,Intermediate,3.8
IT Band and Glute Stretch,Abductors,Intermediate,2.4
Single-leg lying cross-over stretch,Abductors,Beginner,1.6
Carioca quick step,Legsrs,Intermediate,0.0
Standing hip circle,Abductors,Intermediate,0.0
Lateral cone hop,Legsrs,Intermediate,0.0
Groin and Back Stretch,Legsrs,Beginner,7.1
Legsr/Groin,Legsrs,Beginner,3.6
Brachialis SMR,Armss,Beginner,3.2
Wide-grip barbell curl,Armss,Beginner,9.3
EZ-bar spider curl,Armss,Intermediate,9.2
Barbell Curl,Armss,Intermediate,9.0
Close-grip EZ-bar curl,Armss,Beginner,8.9
Preacher Curl,Armss,Intermediate,8.8
Barbell Curls Lying Against An Incline,Armss,Beginner,8.8
Seated Close-Grip Concentration Barbell Curl,Armss,Beginner,8.8
Close-grip barbell curl,Armss,Beginner,8.6
Drag curl,Armss,Beginner,8.5
Reverse-grip barbell curl,Armss,Intermediate,8.2
Lying High Bench Barbell Curl,Armss,Beginner,5.8
Seated wide-grip curl to close-grip curl,Armss,Beginner,0.0
Seated Straigh-Bar Curl Superset,Armss,Beginner,0.0
Incline Hammer Curls,Armss,Beginner,9.5
Hammer Curls,Armss,Intermediate,9.1
Armss curl to shoulder press,Armss,Beginner,9.1
Concentration curl,Armss,Intermediate,9.0
Flexor Incline Dumbbell Curls,Armss,Beginner,9.0
Dumbbell Arms Curl,Armss,Intermediate,8.9
Cross-body hammer curl,Armss,Beginner,8.9
Dumbbell Alternate Arms Curl,Armss,Intermediate,8.7
Single-arm dumbbell preacher curl,Armss,Intermediate,8.7
Alternate Incline Dumbbell Curl,Armss,Intermediate,8.7
Standing concentration curl,Armss,Beginner,8.7
Alternating incline dumbbell Armss curl,Armss,Intermediate,8.6
Alternate Hammer Curl,Armss,Intermediate,8.6
Seated dumbbell Armss curl,Armss,Intermediate,8.6
Preacher Hammer Dumbbell Curl,Armss,Beginner,8.6
Dumbbell preacher curl,Armss,Intermediate,8.3
Lying Supine Dumbbell Curl,Armss,Beginner,8.3
Standing Dumbbell Reverse Curl,Armss,Beginner,8.1
Palms-out incline Armss curl,Armss,Beginner,8.0
Straight-arm plank with Armss curl,Armss,Beginner,7.7
Face-down incline dumbbell Armss curl,Armss,Beginner,7.6
Seated Dumbbell Inner Armss Curl,Armss,Beginner,7.4
Standing Inner-Armss Curl,Armss,Beginner,7.4
Reverse Plate Curls,Armss,Beginner,7.2
Standing Armss Stretch,Armss,Beginner,7.1
Suspended Curl,Armss,Beginner,0.0
Plate hammer curl,Armss,Beginner,0.0
Overhead cable curl,Armss,Intermediate,9.0
Standing One-Arm Cable Curl,Armss,Beginner,8.8
Reverse Cable Curl,Armss,Beginner,8.7
Standing Armss Cable Curl,Armss,Intermediate,8.5
Cable rope hammer curl,Armss,Intermediate,8.2
Lying cable Armss curl,Armss,Beginner,8.2
Cable rope preacher hammer curl,Armss,Beginner,7.5
Lying Close-Grip Bar Curl On High Pulley,Armss,Beginner,7.1
Machine Arms Curl,Armss,Beginner,9.0
Machine Preacher Curls,Armss,Beginner,8.3
Seated Armss,Armss,Beginner,5.0
EZ-Bar Curl,Armss,Intermediate,9.1
Reverse Barbell Preacher Curls,Armss,Beginner,8.8
Close-Grip EZ-Bar Curl with Band,Armss,Beginner,7.9
Calf Raises - With Bands,Legs,Beginner,4.8
Peroneals Stretch,Legs,Intermediate,3.3
Posterior Tibialis Stretch,Legs,Intermediate,1.0
Calf SMR,Legs,Beginner,6.0
Rocking Standing Calf Raise,Legs,Beginner,8.7
Standing barbell calf raise,Legs,Beginner,8.2
Barbell Seated Calf Raise,Legs,Beginner,7.6
Calf Raise On A Dumbbell,Legs,Beginner,4.8
Balance Board,Legs,Beginner,7.5
Weighted donkey calf raise,Legs,Intermediate,7.4
Anterior Tibialis-SMR,Legs,Beginner,5.3
Foot-SMR,Legs,Beginner,2.7
Smith Machine Calf Raise,Legs,Intermediate,9.2
Standing Calf Raises,Legs,Beginner,9.0
Seated Calf Raise,Legs,Intermediate,8.7
Calf Press On The Leg Press Machine,Legs,Intermediate,8.7
Calf Press,Legs,Beginner,8.5
Smith Machine Reverse Calf Raises,Legs,Beginner,7.3
Peroneals-SMR,Legs,Intermediate,6.4
Knee Circles,Legs,Beginner,6.3
Standing Gastrocnemius Calf Stretch,Legs,Intermediate,5.6
Wall calf stretch,Legs,Intermediate,5.3
Seated Calf Stretch,Legs,Intermediate,4.1
Ankle Circles,Legs,Beginner,7.2
Calf Stretch Elbows Against Wall,Legs,Beginner,4.9
Standing Soleus And Achilles Stretch,Legs,Beginner,4.2
Cross Over - With Bands,Chest,Beginner,8.3
Bench Press - With Bands,Chest,Beginner,5.5
Bench Press With Short Bands,Chest,Beginner,0.0
Feet-Elevated TRX Push-Up,Chest,Beginner,0.0
Close-grip bench press,Chest,Intermediate,9.1
Barbell Bench Press - Medium Grip,Chest,Intermediate,9.0
Decline barbell bench press,Chest,Intermediate,8.9
Wide-grip bench press,Chest,Beginner,8.9
Wide-Grip Decline Barbell Bench Press,Chest,Beginner,8.9
Barbell Incline Bench Press Medium-Grip,Chest,Intermediate,8.8
Neck Press,Chest,Beginner,8.8
Front Raise And Pullover,Chest,Beginner,8.3
Board bench press,Chest,Intermediate,7.7
Barbell Bench Press-Wide Grip,Chest,Beginner,7.6
Wide-Grip Decline Barbell Pullover,Chest,Beginner,7.3
Barbell Guillotine Bench Press,Chest,Beginner,6.7
Kettlebell plyo push-up,Chest,Intermediate,8.0
Extended Range One-Arm Kettlebell Floor Press,Chest,Beginner,6.3
Kettlebell alternating floor press,Chest,Beginner,6.0
One-Arm Kettlebell Floor Press,Chest,Beginner,0.0
Leg-Over Floor Press,Chest,Beginner,0.0
Pushups,Chest,Intermediate,9.2
Incline Push-Up,Chest,Intermediate,8.8
Hands-elevated push-up,Chest,Beginner,8.7
Decline Push-Up,Chest,Intermediate,8.6
Single-Arm Push-Up,Chest,Beginner,8.6
Close push-up to wide push-up,Chest,Intermediate,8.5
Wide-grip hands-elevated push-up,Chest,Beginner,8.5
Push-Ups With Feet On An Exercise Ball,Chest,Intermediate,8.5
Feet-elevated push-up,Chest,Intermediate,8.5
Isometric Wipers,Chest,Beginner,8.4
Clock push-up,Chest,Beginner,8.4
Incline Push-Up Depth Jump,Chest,Intermediate,8.3
Push-Up Wide,Chest,Beginner,8.3
Sphinx push-up,Chest,Intermediate,8.0
Close-Hands Push-Up,Chest,Beginner,7.8
Tiger-bend push-up,Chest,Beginner,7.6
Plyo push-up,Chest,Beginner,7.5
Close-grip hands-elevated push-up,Chest,Intermediate,7.4
Suspended push-up,Chest,Intermediate,7.3
Push Up to Side Plank,Chest,Intermediate,7.1
Isometric Chest Squeezes,Chest,Beginner,7.1
Side-to-side push-up,Chest,Beginner,6.7
Typewriter push-up,Chest,Beginner,0.0
Diamond push-up,Chest,Intermediate,0.0
Judo push-up,Chest,Beginner,0.0
Superman Push-Up,Chest,Beginner,0.0
Wide push-up,Chest,Beginner,0.0
One-Arm Push-Up,Chest,Beginner,0.0
Clapping Push-Up,Chest,Beginner,0.0
Staggered push-up,Chest,Beginner,0.0
Reverse-grip hands-elevated push-up,Chest,Beginner,0.0
Triple Clap Push-Up,Chest,Beginner,0.0
Leverage Incline Chest Press,Chest,Beginner,8.6
Butterfly,Chest,Intermediate,8.5
Leverage Chest Press,Chest,Beginner,8.5
Decline Smith Press,Chest,Beginner,8.4
Smith machine bench press,Chest,Intermediate,8.3
Leverage Decline Chest Press,Chest,Beginner,8.3
Machine chest press,Chest,Intermediate,8.2
Smith Machine Incline Bench Press,Chest,Intermediate,8.0
Smith Machine Close-Grip Bench Press,Chest,Intermediate,8.0
Smith Machine Decline Press,Chest,Beginner,7.3
Smith machine bench press throw,Chest,Beginner,0.0
Low-cable cross-over,Chest,Intermediate,9.1
Incline cable chest fly,Chest,Intermediate,9.0
Cable Crossover,Chest,Intermediate,8.8
Incline cable chest press,Chest,Beginner,8.7
Cable Chest Press,Chest,Beginner,8.7
Single-arm cable cross-over,Chest,Intermediate,8.6
Cable cross-over,Chest,Beginner,8.4
Standing Cable Chest Press,Chest,Beginner,8.2
Lying cable chest fly,Chest,Intermediate,7.3
Chest Push (multiple response),Chest,Beginner,8.3
Medicine Ball Chest Pass,Chest,Intermediate,5.9
Medicine ball sprawl to chest press,Chest,Intermediate,0.0
Medicine ball push-up,Chest,Intermediate,0.0
Chest Push (single response),Chest,Beginner,0.0
Chest Push with Run Release,Chest,Beginner,0.0
Chest Push from 3 point stance,Chest,Beginner,0.0
Dumbbell Bench Press,Chest,Intermediate,9.2
Dumbbell Flyes,Chest,Intermediate,9.1
Incline dumbbell bench press,Chest,Intermediate,9.1
Decline Dumbbell Flyes,Chest,Intermediate,9.0
Reverse-grip incline dumbbell bench press,Chest,Beginner,8.9
Incline Dumbbell Flyes,Chest,Intermediate,8.8
Neutral-grip dumbbell bench press,Chest,Intermediate,8.7
Decline dumbbell bench press,Chest,Intermediate,8.5
Single-arm kettlebell row,Chest,Intermediate,8.5
Hammer Grip Incline DB Bench Press,Chest,Beginner,8.5
Straight-arm dumbbell pull-over,Chest,Intermediate,8.4
Incline Dumbbell Bench With Palms Facing In,Chest,Beginner,8.4
Incline Dumbbell Flyes - With A Twist,Chest,Beginner,8.3
Bent-arm dumbbell pull-over,Chest,Intermediate,8.2
Close-grip dumbbell bench press,Chest,Intermediate,8.1
Single-dumbbell push-up,Chest,Intermediate,7.3
One-Arm Flat Bench Dumbbell Flye,Chest,Beginner,6.5
Bodyweight Flyes,Chest,Beginner,9.0
Close-grip EZ-bar bench press,Chest,Intermediate,8.8
Chest dip,Chest,Intermediate,9.0
Drop Push,Chest,Beginner,8.8
Forward Drag with Press,Chest,Beginner,6.0
Chain Press,Chest,Beginner,5.6
Behind Head Chest Stretch,Chest,Beginner,4.9
Pass-through stretch with band,Chest,Beginner,3.0
Weighted Push-Up,Chest,Intermediate,0.0
Heavy Bag Thrust,Chest,Beginner,0.0
Decline Explosive Push-Up,Chest,Beginner,0.0
Suspended Chest Fly,Chest,Beginner,0.0
Svend press,Chest,Beginner,0.0
Bar Push-Up Smith Machine,Chest,Beginner,0.0
Exercise ball chest stretch,Chest,Beginner,3.6
Bosu Ball Push-Up,Chest,Beginner,0.0
Palms-down wrist curl over bench,Arms,Intermediate,9.5
Palms-up wrist curl over bench,Arms,Intermediate,9.4
Standing behind-the-back wrist curl,Arms,Beginner,9.3
Seated finger curl,Arms,Beginner,9.3
Seated palms-up wrist curl,Arms,Intermediate,8.7
Bottoms-Up Clean From The Hang Position,Arms,Beginner,8.3
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Arms,Beginner,9.0
Palms-Up Dumbbell Wrist Curl Over A Bench,Arms,Beginner,8.6
Seated palms-down wrist curl,Arms,Beginner,8.4
Palms-Down Dumbbell Wrist Curl Over A Bench,Arms,Beginner,8.4
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Arms,Beginner,8.3
Seated Dumbbell Palms-Up Wrist Curl,Arms,Beginner,6.2
Partner farmer's walk,Arms,Beginner,5.3
Dumbbell suitcase carry,Arms,Intermediate,0.0
Suitcase Dumbbell Carry,Arms,Intermediate,0.0
Rickshaw Carry,Arms,Beginner,9.6
Dumbbell farmer's walk,Arms,Intermediate,9.4
Wrist Roller,Arms,Beginner,9.1
Standing Olympic Plate Hand Squeeze,Arms,Beginner,8.6
Plate Pinch,Arms,Beginner,8.3
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Arms,Beginner,9.2
Cable Wrist Curl,Arms,Beginner,7.8
Wrist Circles,Arms,Beginner,2.5
Kneeling Forearm Stretch,Arms,Beginner,5.2
Hip Extension with Bands,Legs,Beginner,7.2
Hip Lift with Band,Legs,Beginner,6.0
Piriformis SMR,Legs,Intermediate,6.6
Barbell glute bridge,Legs,Intermediate,9.4
Barbell Hip Thrust,Legs,Intermediate,9.1
Kneeling Squat,Legs,Beginner,8.6
Kneeling Jump Squat,Legs,Beginner,7.6
Kettlebell thruster,Legs,Intermediate,8.6
Suspended Hip Thrust,Legs,Beginner,0.0
Single-leg cable hip extension,Legs,Intermediate,9.0
Pull Through,Legs,Beginner,7.4
Glute bridge,Legs,Intermediate,8.8
Single-leg glute bridge,Legs,Intermediate,8.8
Step-up with knee raise,Legs,Intermediate,8.7
Glute Kickback,Legs,Beginner,8.3
Standing hip extension,Legs,Beginner,6.5
Lying glute stretch,Legs,Intermediate,4.8
Knee Across The Body,Legs,Intermediate,3.5
Seated Glute,Legs,Beginner,3.1
Lying Glute,Legs,Beginner,3.0
One Knee To Chest,Legs,Intermediate,2.7
Seated Glute Stretch,Legs,Beginner,0.0
Neck Bridge Supine,Legs,Beginner,0.0
Exercise ball hip thrust,Legs,Intermediate,7.8
Downward Facing Balance,Legs,Beginner,4.0
Band Good Morning (Pull Through),Legs,Beginner,8.3
Standing Hamstring and Calf Stretch,Legs,Intermediate,6.7
Hamstring-SMR,Legs,Beginner,5.5
Barbell Deadlift,Legs,Intermediate,9.4
Clean Deadlift,Legs,Beginner,9.4
Sumo deadlift,Legs,Beginner,9.3
Romanian Deadlift from Deficit,Legs,Beginner,9.2
Power Snatch,Legs,Beginner,9.2
Power Clean from Blocks,Legs,Beginner,9.2
Snatch Deadlift,Legs,Beginner,8.9
Power clean,Legs,Intermediate,8.7
Hang Snatch,Legs,Beginner,8.7
Wide Stance Stiff Legs,Legs,Beginner,8.5
Clean,Legs,Beginner,8.5
Good Morning,Legs,Intermediate,8.5
Barbell stiff-legged deadlift,Legs,Intermediate,8.3
Romanian Deadlift,Legs,Intermediate,8.1
Sumo Deadlift with Chains,Legs,Beginner,7.8
Sumo Deadlift with Bands,Legs,Beginner,0.0
Good Morning off Pins,Legs,Beginner,0.0
Stiff-Legged Deadlift,Legs,Beginner,0.0
Snatch Pull,Legs,Beginner,0.0
Hanging Bar Good Morning,Legs,Beginner,0.0
Reverse Band Sumo Deadlift,Legs,Beginner,0.0
Muscle Snatch,Legs,Beginner,0.0
Split Snatch,Legs,Beginner,0.0
Hang Snatch - Below Knees,Legs,Beginner,0.0
Kettlebell pass-through lunge,Legs,Intermediate,8.7
Kettlebell One-Legged Deadlift,Legs,Intermediate,8.6
Single-arm kettlebell clean,Legs,Beginner,8.6
Single-leg kettlebell deadlift,Legs,Intermediate,8.2
Romanian Deadlift with Kettlebell,Legs,Beginner,8.0
Single-arm kettlebell swing,Legs,Intermediate,7.4
Kettlebell Dead Clean,Legs,Beginner,5.3
Alternating Hang Clean,Legs,Beginner,4.9
One-Arm Open Palm Kettlebell Clean,Legs,Beginner,0.0
Open Palm Kettlebell Clean,Legs,Beginner,0.0
Kettlebell Hang Clean,Legs,Beginner,0.0
Double Kettlebell Alternating Hang Clean,Legs,Beginner,0.0
Romanian Deadlift With Dumbbells,Legs,Beginner,9.4
Stiff-Legged Dumbbell Deadlift,Legs,Intermediate,8.8
Vertical Swing,Legs,Beginner,7.5
Box jump,Legs,Beginner,8.6
Box Jump (Multiple Response),Legs,Intermediate,8.1
Sled push-,Legs,Beginner,7.4
Lying Hamstring,Legs,Beginner,6.3
Chair Leg Extended Stretch,Legs,Beginner,2.4
Suspended Leg Curl,Legs,Beginner,0.0
Box Skip,Legs,Beginner,0.0
Power Stairs,Legs,Beginner,0.0
Seated Hamstring and Calf Stretch,Legs,Beginner,0.0
Hamstring slide,Legs,Beginner,0.0
Seated Band Hamstring Curl,Legs,Intermediate,0.0
Lying Leg Curls,Legs,Beginner,8.9
Glute Ham Raise,Legs,Intermediate,8.4
Reverse Hyperextension,Legs,Beginner,8.0
Seated Leg Curl,Legs,Intermediate,7.9
Standing Leg Curl,Legs,Beginner,7.4
Smith machine stiff-legged deadlift,Legs,Beginner,7.0
Natural Glute Ham Raise,Legs,Beginner,9.1
Standing leg swing,Legs,Beginner,8.4
Linear Acceleration Wall Drill,Legs,Intermediate,8.3
Knee Tuck Jump,Legs,Intermediate,8.1
Leg-Up Hamstring Stretch,Legs,Intermediate,7.8
Inchworm,Legs,Beginner,7.5
Moving Claw Series,Legs,Intermediate,7.3
Lying groin stretch with band,Legs,Intermediate,6.7
90/90 Hamstring,Legs,Beginner,5.0
World's greatest stretch,Legs,Intermediate,4.4
The Straddle,Legs,Intermediate,4.3
Prone Manual Hamstring,Legs,Intermediate,0.0
Knee To Chest,Legs,Beginner,0.0
Hurdle Hops,Legs,Intermediate,0.0
Hip Stretch With Twist,Legs,Beginner,0.0
Linear 3-Part Start Technique,Legs,Intermediate,0.0
Alternating Leg Swing,Legs,Beginner,0.0
Single-leg balance and reach,Legs,Beginner,0.0
High Kick,Legs,Beginner,0.0
Glute ham raise-,Legs,Beginner,9.1
Lying hamstring stretch with band,Legs,Beginner,5.9
Upper Back-Leg Grab,Legs,Beginner,5.4
Seated Hamstring,Legs,Beginner,5.3
Alternating lunge jump,Legs,Beginner,4.2
Runner's Stretch,Legs,Intermediate,3.6
Exercise ball leg curl,Legs,Intermediate,8.8
Band-assisted pull-up,Back,Intermediate,7.6
Assisted Chin-Up,Back,Beginner,0.0
Latissimus dorsi SMR,Back,Intermediate,4.7
Bent-arm barbell pull-over,Back,Intermediate,8.0
Barbell pull-over to press,Back,Beginner,0.0
Weighted pull-up,Back,Intermediate,9.5
Rocky Pull-Ups/Pulldowns,Back,Beginner,9.0
Gironda Sternum Chins,Back,Beginner,8.5
Floor rope climb,Back,Beginner,7.0
Overhead Lat,Back,Beginner,1.0
Around-the-world pull-up,Back,Beginner,0.0
L-sit chin-up,Back,Beginner,0.0
Close-grip pull-down,Back,Intermediate,8.9
Shotgun row,Back,Intermediate,8.9
Close-Grip Front Lat Pulldown,Back,Intermediate,8.8
Straight-arm rope pull-down,Back,Intermediate,8.7
Lat pull-down,Back,Intermediate,8.6
Straight-Arm Pulldown,Back,Intermediate,8.3
Single-arm kneeling lat pull-down,Back,Beginner,8.3
Elevated Cable Rows,Back,Beginner,8.3
Full Range-Of-Motion Lat Pulldown,Back,Beginner,8.1
Kneeling lat pull-down,Back,Intermediate,7.9
Behind-the-neck pull-down,Back,Intermediate,7.1
Reverse-grip lat pull-down,Back,Intermediate,8.5
Machine seated row,Back,Beginner,8.4
Machine-assisted pull-up,Back,Beginner,8.2
Single-arm pull-down,Back,Intermediate,7.3
Pullups,Back,Intermediate,9.2
Pull-up,Back,Beginner,8.9
Muscle Up,Back,Intermediate,8.9
Rope climb,Back,Intermediate,8.7
Wide-Grip Rear Pull-Up,Back,Beginner,8.7
Side To Side Chins,Back,Intermediate,8.4
Neutral-grip pull-up,Back,Intermediate,8.2
Kipping Muscle Up,Back,Intermediate,7.2
One Arm Against Wall,Back,Intermediate,5.8
One Handed Hang,Back,Intermediate,3.6
Standing side bend stretch,Back,Intermediate,3.2
Burpee to pull-up,Back,Intermediate,0.0
Negative pull-up,Back,Intermediate,0.0
Medicine ball slam,Back,Intermediate,7.9
Catch and Overhead Throw,Back,Beginner,5.8
Dynamic Back Stretch,Back,Beginner,4.8
Chair Back Stretch,Back,Beginner,3.2
Side-Lying Floor Stretch,Back,Beginner,1.0
Back SMR,Back,Intermediate,4.5
Barbell deficit deadlift,Back,Beginner,9.4
Deadlift with Bands,Back,Beginner,8.7
Deadlift with Chains,Back,Beginner,8.6
Rack Pull with Bands,Back,Beginner,8.5
Rack pull,Back,Intermediate,8.3
Seated Good Mornings,Back,Beginner,8.1
Stiff Leg Barbell Good Morning,Back,Beginner,8.1
Reverse Band Deadlift,Back,Beginner,0.0
Atlas Stones,Back,Intermediate,9.5
Axle Deadlift,Back,Beginner,9.1
Atlas Stone Trainer,Back,Beginner,6.4
Partner Flat-Bench Back Extension,Back,Beginner,0.0
Keg Load,Back,Beginner,0.0
Partner bench back extension,Back,Beginner,0.0
Seated Back Extension,Back,Beginner,8.2
Back extension,Back,Intermediate,9.1
Hyperextensions With No Hyperextension Bench,Back,Beginner,8.8
Superman,Back,Intermediate,8.3
Hug A Ball,Back,Intermediate,5.4
Child's pose,Back,Intermediate,5.3
Pelvic Tilt Into Bridge,Back,Intermediate,5.1
Hug Knees To Chest,Back,Intermediate,4.4
Pyramid,Back,Intermediate,1.0
Partner Superman with alternating high-five,Back,Beginner,0.0
Dancer's Stretch,Back,Beginner,5.4
Cat Stretch,Back,Beginner,4.9
Crossover Reverse Lunge,Back,Beginner,3.9
Standing Pelvic Tilt,Back,Beginner,3.1
Exercise ball weighted hyperextension,Back,Beginner,8.3
Partner Facing Feet-Elevated Side Plank With Band Row,Back,Beginner,0.0
Partner side plank band row,Back,Intermediate,0.0
Reverse-grip bent-over row,Back,Intermediate,9.2
One-Arm Long Bar Row,Back,Intermediate,9.0
Bent Over Barbell Row,Back,Intermediate,8.7
Yates Row Reverse Grip,Back,Beginner,8.3
Pendlay Row,Back,Intermediate,8.2
Straight Bar Bench Mid Rows,Back,Beginner,6.5
Barbell seal row,Back,Intermediate,6.2
Yates Row,Back,Beginner,0.0
Plate Row,Back,Beginner,0.0
Barbell Deadlift Bent Row Complex,Back,Beginner,0.0
Single-Arm Landmine Row,Back,Beginner,0.0
Kettlebell alternating renegade row,Back,Intermediate,8.5
Alternating Kettlebell Row,Back,Intermediate,7.9
Two-Arm Kettlebell Row,Back,Beginner,7.3
One-Arm Dumbbell Row,Back,Intermediate,9.0
Incline dumbbell row,Back,Intermediate,8.8
Bent Over Two-Dumbbell Row With Palms In,Back,Beginner,8.8
Man-maker,Back,Intermediate,8.4
Dumbbell bent-over row,Back,Intermediate,8.3
Back Shrug,Back,Beginner,8.3
